CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA,Location Point1
50107205,MENDY'S,Manhattan,441,PARK AVENUE SOUTH,10016.0,2125761010,Jewish/Kosher,08/26/2021,Violations were cited in the following area(s).,10A,"Toilet facility not maintained and provided with toilet paper, waste receptacle and self-closing door.",Not Critical,13.0,A,08/26/2021,11/30/2024,Pre-permit (Operational) / Initial Inspection,40.744456222905,-73.983233167665,105.0,2.0,7200.0,1082102.0,1008850088.0,MN20,
50089573,WARNERMEDIA CONFERENCE CENTER,Manhattan,30,HUDSON YARDS,10001.0,5165376687,American,05/09/2022,Violations were cited in the following area(s).,09C,Food contact surface not properly maintained.,Not Critical,5.0,A,05/09/2022,11/30/2024,Cycle Inspection / Initial Inspection,40.753710037499,-73.999779827939,104.0,3.0,9900.0,1088961.0,1007027501.0,MN13,
50056793,ASIAN KABAB & CURRY,Brooklyn,496,CRESCENT STREET,11208.0,3477872869,Indian,11/23/2022,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,40.0,C,11/23/2022,11/30/2024,Cycle Inspection / Re-inspection,40.675967781521,-73.870160316619,305.0,42.0,119600.0,3094727.0,3042150037.0,BK82,
50046674,THE LOWERY BAR & KITCHEN,Queens,4302,43RD AVE,11104.0,9292080054,American,09/01/2022,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,30.0,,,11/30/2024,Cycle Inspection / Initial Inspection,40.745190535044,-73.920979192678,402.0,26.0,18300.0,4169259.0,4081260021.0,QN31,
50035115,CROSSBAY DELI & GRILL,Queens,10510,CROSSBAY BLVD,11417.0,7188488887,Sandwiches,07/31/2024,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,19.0,,,11/30/2024,Cycle Inspection / Compliance Inspection,40.679797716788,-73.844479012184,410.0,32.0,5400.0,4191000.0,4091620011.0,QN56,
50125019,New Vision 104,Manhattan,180,EAST  104 STREET,10029.0,6468518357,"Juice, Smoothies, Fruit Salads",08/08/2023,Violations were cited in the following area(s).,04J,"Properly scaled and calibrated thermometer or thermocouple not provided or not readily accessible in food preparation and hot/cold holding areas to measure temperatures of TCS foods during cooking, cooling, reheating, and holding.",Critical,49.0,,,11/30/2024,Pre-permit (Operational) / Initial Inspection,40.790468908403,-73.946172398835,111.0,8.0,16600.0,1051930.0,1016310041.0,MN33,
50092545,CARIBBEAN RESTAURANT & SPORTS BAR,Queens,10908,LIBERTY AVE,11419.0,3478097425,Caribbean,01/26/2023,Violations were cited in the following area(s).,10G,"Dishwashing and ware washing:  Cleaning and sanitizing of tableware, including dishes, utensils, and equipment deficient.",Not Critical,30.0,,,11/30/2024,Cycle Inspection / Initial Inspection,40.684139734898,-73.832628042807,410.0,28.0,9600.0,4202337.0,4095320004.0,QN55,
50122395,SUSHI ISLAND,Queens,8718,QUEENS BLVD,11373.0,7188033033,Japanese,09/20/2022,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,35.0,,,11/30/2024,Pre-permit (Operational) / Initial Inspection,40.735310286911,-73.875568667583,404.0,25.0,47500.0,4437595.0,4028530011.0,QN29,
50139100,GULAABO,Manhattan,250,WEST   47 STREET,10036.0,5169839819,Indian,05/01/2024,Violations were cited in the following area(s).,05D,"No hand washing facility in or adjacent to toilet room or within 25 feet of a food preparation, food service or ware washing area. Hand washing facility not accessible, obstructed or used for non-hand washing purposes. No hot and cold running water or water at inadequate pressure. No soap or acceptable hand-drying device.",Critical,53.0,N,,11/30/2024,Pre-permit (Operational) / Initial Inspection,40.759884925427,-73.986275867497,105.0,3.0,12500.0,1024744.0,1010180054.0,MN17,
50043829,SETAGAYA,Brooklyn,280,BEDFORD AVENUE,11249.0,7182188508,Asian/Asian Fusion,02/28/2022,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,23.0,B,02/28/2022,11/30/2024,Cycle Inspection / Re-inspection,40.71474149045,-73.961045201311,301.0,34.0,55300.0,3062618.0,3023800023.0,BK73,
50146125,PRET,Manhattan,857,BROADWAY,10003.0,6468385526,Sandwiches/Salads/Mixed Buffet,03/26/2024,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,4.0,A,03/26/2024,11/30/2024,Pre-permit (Operational) / Re-inspection,40.737227332858,-73.990307618042,105.0,3.0,5200.0,1016122.0,1008460019.0,MN13,
40654318,BATEAUX NEW YORK,Manhattan,62,WEST 23 STREET - CHELSEA PIER,,2127277735,American,08/28/2017,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,22.0,,,11/30/2024,Cycle Inspection / Initial Inspection,0.0,0.0,,,,,1.0,,
50010321,MCDONALD'S,Queens,31-67,STEINWAY STREET,11103.0,7182671343,Hamburgers,09/20/2024,Violations were cited in the following area(s).,09B,Thawing procedure improper.,Not Critical,11.0,A,09/20/2024,11/30/2024,Cycle Inspection / Initial Inspection,40.759851152228,-73.918268886344,401.0,22.0,15500.0,4011102.0,4006780013.0,QN70,
50051729,YUMMY TACO,Brooklyn,129,CHURCH AVENUE,11218.0,7186967038,Tex-Mex,03/08/2023,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,11.0,A,03/08/2023,11/30/2024,Cycle Inspection / Initial Inspection,40.643055364121,-73.978830205283,312.0,39.0,49600.0,3124526.0,3053340040.0,BK41,
50066692,MAY WAH PORK CHOP FAST FOOD,Manhattan,190,HESTER STREET,10013.0,2129256776,Chinese,08/06/2024,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,10.0,A,08/06/2024,11/30/2024,Cycle Inspection / Initial Inspection,40.718302570133,-73.998387468433,102.0,1.0,4100.0,1002650.0,1002060012.0,MN24,
50132327,88 BAKERY & CAFE,Queens,8279,BROADWAY,11373.0,7187818069,Other,09/24/2024,Violations were cited in the following area(s).,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,Not Critical,41.0,N,,11/30/2024,Cycle Inspection / Initial Inspection,40.741601229177,-73.880677651228,404.0,25.0,46900.0,4039029.0,4015610034.0,QN29,
50080871,TROPICAL SMOOTHIE CAFE,Staten Island,1407,FOREST AVENUE,10302.0,3154003300,"Juice, Smoothies, Fruit Salads",04/25/2022,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Critical,13.0,A,04/25/2022,11/30/2024,Cycle Inspection / Initial Inspection,40.6249955834,-74.135929055633,501.0,49.0,24700.0,5107000.0,5010530101.0,SI28,
40996589,GENA'S GRILL,Manhattan,210,1 AVENUE,10009.0,2124733700,Latin American,10/06/2022,Violations were cited in the following area(s).,02G,Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,Critical,25.0,,,11/30/2024,Cycle Inspection / Initial Inspection,40.730394798906,-73.983240327475,103.0,2.0,3400.0,1005981.0,1004400007.0,MN22,
50129952,KENNEDY CHICKEN AND BURGER,Brooklyn,1519,FULTON STREET,11216.0,7184153299,Chicken,01/19/2023,Violations were cited in the following area(s).,18-11,Food Protection Certificate not available for inspection,Not Critical,,,,11/30/2024,Administrative Miscellaneous / Re-inspection,40.67990152281,-73.940533057727,303.0,36.0,26900.0,3053619.0,3018570001.0,BK75,
50126597,MARTHA'S COCINA MEXICANA,Brooklyn,338,FRANKLIN AVENUE,11238.0,3472405049,Mexican,03/27/2023,Violations were cited in the following area(s).,05D,"No hand washing facility in or adjacent to toilet room or within 25 feet of a food preparation, food service or ware washing area.  Hand washing facility not accessible, obstructed or used for non-hand washing purposes. No hot and cold running water or water at inadequate pressure. No soap or acceptable hand-drying device.",Critical,32.0,,,11/30/2024,Pre-permit (Operational) / Initial Inspection,40.687547577497,-73.956961373756,303.0,35.0,23300.0,3056315.0,3019670041.0,BK75,
50061071,HO HO TE,Manhattan,805,8 AVENUE,10019.0,6468526941,Coffee/Tea,09/09/2022,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,10H,"Single service article not provided.  Single service article reused or not protected from contamination when transported, stored, dispensed.  Drinking straws not completely enclosed in wrapper or dispensed from a sanitary device.",Not Critical,54.0,,,11/30/2024,Cycle Inspection / Initial Inspection,40.761402833182,-73.98675565647,104.0,3.0,12700.0,1025144.0,1010390032.0,MN15,
50124277,MASAKE,Brooklyn,1704,AVENUE M,11230.0,7189988670,Chinese/Japanese,03/09/2023,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,32.0,,,11/30/2024,Pre-permit (Operational) / Initial Inspection,40.618220302049,-73.957975190929,314.0,44.0,53800.0,3181030.0,3067460002.0,BK43,
40962072,RARYTAS MANOR,Queens,5509,METROPOLITAN AVENUE,11385.0,7183267511,Eastern European,05/10/2018,Violations were cited in the following area(s).,08C,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,Not Critical,11.0,A,05/10/2018,11/30/2024,Cycle Inspection / Initial Inspection,40.713042772688,-73.908486146204,405.0,30.0,59500.0,4059332.0,4026400007.0,QN20,
50063463,VIVA MEXICO MEXICAN CUISINE,Manhattan,1577,SAINT NICHOLAS AVENUE,10040.0,9172614686,Mexican,06/07/2022,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,26.0,,,11/30/2024,Cycle Inspection / Initial Inspection,40.854165777639,-73.93019361586,112.0,10.0,27900.0,1064011.0,1021680046.0,MN35,
41512587,KAFF KAFE,Brooklyn,5320,16 AVENUE,11204.0,7184360808,Jewish/Kosher,02/09/2023,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,43.0,,,11/30/2024,Cycle Inspection / Compliance Inspection,40.628654818507,-73.987996174169,312.0,44.0,23800.0,3130166.0,3054770043.0,BK88,
41630104,LUCKY CHINESE RESTAURANT,Queens,5008,69 STREET,11377.0,7187791350,Chinese,05/24/2022,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,13.0,A,05/24/2022,11/30/2024,Cycle Inspection / Re-inspection,40.736744161279,-73.895975421177,402.0,30.0,24300.0,4056186.0,4024270001.0,QN50,
50114570,NEW JADE GARDEN,Queens,17012A,HILLSIDE AVE,11432.0,9172163783,Chinese,07/24/2024,Violations were cited in the following area(s).,02G,Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,Critical,10.0,A,07/24/2024,11/30/2024,Cycle Inspection / Initial Inspection,40.711141835391,-73.791782025166,412.0,27.0,46200.0,4210211.0,4098260052.0,QN61,
50046578,333 LOUNGE,Brooklyn,333,FLATBUSH AVENUE,11217.0,9176098864,Caribbean,02/16/2024,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,39.0,C,02/16/2024,11/30/2024,Cycle Inspection / Re-inspection,40.677759091219,-73.972877691764,308.0,35.0,16100.0,3028689.0,3011570005.0,BK64,
50072539,FRIDUCHA MEXICAN,Brooklyn,946,MANHATTAN AVENUE,11222.0,7183830026,Mexican,09/10/2024,Violations were cited in the following area(s).,04K,Evidence of rats or live rats in establishment's food or non-food areas.,Critical,13.0,A,09/10/2024,11/30/2024,Cycle Inspection / Initial Inspection,40.731504104915,-73.954464884789,301.0,33.0,57500.0,3064613.0,3025510008.0,BK76,
40386425,TASTY'S,Queens,5802,MYRTLE AVENUE,11385.0,7184560954,American,11/21/2022,Violations were cited in the following area(s).,09C,"Design, construction, materials used or maintenance of food contact surface improper.  Surface not easily cleanable, sanitized and maintained.",Not Critical,13.0,A,11/21/2022,11/30/2024,Cycle Inspection / Initial Inspection,40.700476771433,-73.901340978825,405.0,34.0,55700.0,4086258.0,4035740025.0,QN20,
50003506,LUPITA RESTAURANT,Manhattan,2049,2 AVENUE,10029.0,6465904202,Mexican,09/27/2022,Violations were cited in the following area(s).,04M,Live roaches in facility's food or non-food area.,Critical,9.0,A,09/27/2022,11/30/2024,Cycle Inspection / Re-inspection,40.790168087113,-73.942774350469,111.0,8.0,17000.0,1052415.0,1016550022.0,MN33,
50115349,RESTAURANTE Y ANTOJITOS GUATELINDA,Queens,17018,JAMAICA AVE,11432.0,7186390222,Spanish,02/14/2024,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,20.0,B,02/14/2024,11/30/2024,Cycle Inspection / Re-inspection,40.70727543595,-73.789319839659,412.0,27.0,44400.0,4217483.0,4102120006.0,QN61,
50056825,BEST PIZZA,Brooklyn,24,AVENUE O,11204.0,7185133220,Pizza,08/31/2021,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,14.0,,,11/30/2024,Cycle Inspection / Initial Inspection,40.61016276324,-73.984336698024,311.0,43.0,43000.0,3174092.0,3065960007.0,BK29,
50152628,ANGELINA BAKERY GRAND,Manhattan,450,LEXINGTON AVENUE,10017.0,6466675285,Bakery Products/Desserts,09/26/2024,Violations were cited in the following area(s).,06C,"Food, supplies, and equipment not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,8.0,A,09/26/2024,11/30/2024,Pre-permit (Operational) / Re-inspection,40.753095200871,-73.974853695761,105.0,4.0,9200.0,1085671.0,1012800090.0,MN19,
41687909,STARBUCKS,Manhattan,600,MADISON AVENUE,10022.0,2127591569,Coffee/Tea,06/25/2024,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests  in  establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,20.0,,,11/30/2024,Cycle Inspection / Initial Inspection,40.762621629375,-73.97212463865,105.0,4.0,11202.0,1036076.0,1012930059.0,MN17,
50043922,JOE & JOHN'S PIZZA RESTAURANT,Queens,5910,MYRTLE AVE,11385.0,7184970078,Pizza,08/31/2022,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,23.0,,,11/30/2024,Cycle Inspection / Initial Inspection,40.700494273509,-73.899371810281,405.0,34.0,55700.0,4086695.0,4035870046.0,QN20,
50067048,NEW ORIENTAL HOUSE,Bronx,565,EAST  184 STREET,10458.0,7185638888,Chinese,10/10/2023,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,57.0,,,11/30/2024,Cycle Inspection / Re-inspection,40.854507849618,-73.890241700723,206.0,15.0,38700.0,2011674.0,2030540050.0,BX06,
41310201,DUNKIN,Bronx,4147,THROGS NECK EXPRESSWAY,10465.0,7188877863,Donuts,01/10/2023,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,25.0,,,11/30/2024,Cycle Inspection / Initial Inspection,40.819954657982,-73.810444598449,210.0,13.0,13800.0,2078787.0,2055180028.0,BX52,
41060947,EL TIMBIRICHI RESTAURANT,Bronx,168,EAST  174 STREET,10457.0,3472843310,Spanish,04/20/2023,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,28.0,,,11/30/2024,Cycle Inspection / Initial Inspection,40.844805209289,-73.909102951764,204.0,15.0,22902.0,2007398.0,2027940042.0,BX41,
50158449,MAD HOPS INC,Manhattan,223,WEST   14 STREET,10011.0,3474032555,,01/01/1900,,,,Not Applicable,,,,11/30/2024,,40.738921260148,-74.000548503222,104.0,3.0,8100.0,1078481.0,1007647502.0,MN13,
50107480,KENNEDY FRIED CHICKEN,Bronx,1572,EAST  174 STREET,10472.0,8628129262,Chicken,08/02/2021,Violations were cited in the following area(s).,04A,Food Protection Certificate not held by supervisor of food operations.,Critical,24.0,,,11/30/2024,Pre-permit (Operational) / Initial Inspection,40.833829937573,-73.87758808765,209.0,17.0,5600.0,2028041.0,2038860001.0,BX08,
50160841,JKCSNY INC,Manhattan,42,WEST   42 STREET,10036.0,9173253374,,01/01/1900,,,,Not Applicable,,,,11/30/2024,,40.754068239421,-73.982321170752,105.0,4.0,8400.0,1085593.0,1012570002.0,MN17,
50121693,MR. NAI BROTHER,Queens,136-20,ROOSEVELT AVENUE,11354.0,7187990588,Asian/Asian Fusion,09/20/2022,Violations were cited in the following area(s).,04A,Food Protection Certificate (FPC) not held by manager or supervisor of food operations.,Critical,10.0,A,09/20/2022,11/30/2024,Pre-permit (Operational) / Re-inspection,40.759777908235,-73.829235428489,407.0,20.0,85300.0,4113546.0,4050190005.0,QN22,
41659498,WORLD YACHT DUCHESS,Manhattan,0,PIER   81,10036.0,2126308890,American,06/19/2019,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,4.0,,,11/30/2024,Cycle Inspection / Initial Inspection,40.762185805839,-74.003306612645,104.0,3.0,11700.0,1087586.0,1011070005.0,MN13,
50036594,NYCS FRIED CHICKEN,Brooklyn,844,JAMAICA AVENUE,11208.0,7182350555,Spanish,05/18/2022,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,0.0,,,11/30/2024,Cycle Inspection / Initial Inspection,40.68947593582,-73.873602778944,305.0,37.0,118201.0,3327204.0,3041060031.0,BK83,
41060947,EL TIMBIRICHI RESTAURANT,Bronx,168,EAST  174 STREET,10457.0,3472843310,Spanish,03/11/2022,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,13.0,A,03/11/2022,11/30/2024,Cycle Inspection / Initial Inspection,40.844805209289,-73.909102951764,204.0,15.0,22902.0,2007398.0,2027940042.0,BX41,
